,문서 번호,리뷰 데이터,Token,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
10,10,"하 이 집 로맨스 맛있네.... 심지어 서브도 맛있어..
한국판 상견니 필이온다

2화 엔딩을 보고 1화 다리씬 다시 보니 ""재미있네""..🤭","['로맨스', '서브', '국판', '상견', '엔딩', '다리']",8,0.502,"[(8, 0.50196624), (14, 0.2672609)]"
11,11,혜윤 업고 튀어. 솔이 너무 귀엽고 2화 엔딩은 정말 미쳤다,"['혜윤', '엔딩']",24,0.5192,"[(0, 0.019230818), (1, 0.019230818), (2, 0.019230818), (3, 0.019230818), (4, 0.019230818), (5, 0.019230818), (6, 0.019230818), (7, 0.019230818), (8, 0.019230818), (9, 0.019230818), (10, 0.019230818), (11, 0.019230818), (12, 0.019230818), (13, 0.019230818), (14, 0.019230818), (15, 0.019230818), (16, 0.019230818), (17, 0.019230818), (18, 0.019230818), (19, 0.019230818), (20, 0.019230818), (21, 0.019230818), (22, 0.019230818), (23, 0.019230818), (24, 0.5192295), (25, 0.019230818)]"
12,12,"로운(190cm)-옥택연(186cm)-변우석(189cm)
어쩌다 보니 대형 남주 전문 배우 김혜윤🐰","['cm', '옥택연', 'cm', '변우석', 'cm', '대형', '남주', '전문', '배우', '김혜윤']",4,0.5192,"[(0, 0.019230796), (1, 0.019230796), (2, 0.019230796), (3, 0.019230796), (4, 0.51923007), (5, 0.019230796), (6, 0.019230796), (7, 0.019230796), (8, 0.019230796), (9, 0.019230796), (10, 0.019230796), (11, 0.019230796), (12, 0.019230796), (13, 0.019230796), (14, 0.019230796), (15, 0.019230796), (16, 0.019230796), (17, 0.019230796), (18, 0.019230796), (19, 0.019230796), (20, 0.019230796), (21, 0.019230796), (22, 0.019230796), (23, 0.019230796), (24, 0.019230796), (25, 0.019230796)]"
13,13,<소나기>가 흘러나올 때마다 극 속으로 몰입하게 된다.,"['소나기', '몰입']",22,0.3598,"[(0, 0.012820598), (1, 0.012820598), (2, 0.012820598), (3, 0.012820598), (4, 0.012820598), (5, 0.012820598), (6, 0.012820598), (7, 0.012820598), (8, 0.012820598), (9, 0.012820598), (10, 0.012820598), (11, 0.012820598), (12, 0.012820598), (13, 0.012820598), (14, 0.012820598), (15, 0.012820598), (16, 0.012820598), (17, 0.3325314), (18, 0.012820598), (19, 0.012820598), (20, 0.012820598), (21, 0.012820598), (22, 0.35977426), (23, 0.012820598), (24, 0.012820598), (25, 0.012820598)]"
14,14,왜 맨날 여주보다 남주가 먼저 좋아한거냐.. 왜 나만 그런 일 안당해봤냐ㅜ 싫어하는 척 했지만 뒤에서 씌익 웃는 남주 보면서 언제 웃음 안나냐….,"['여주', '남주', '남주', '웃음']",4,0.5961,"[(0, 0.21931584), (4, 0.5960669)]"
15,15,야 이거 설정 맛있다,['설정'],17,0.5192,"[(0, 0.019230822), (1, 0.019230822), (2, 0.019230822), (3, 0.019230822), (4, 0.019230822), (5, 0.019230822), (6, 0.019230822), (7, 0.019230822), (8, 0.019230822), (9, 0.019230822), (10, 0.019230822), (11, 0.019230822), (12, 0.019230822), (13, 0.019230822), (14, 0.019230822), (15, 0.019230822), (16, 0.019230822), (17, 0.5192294), (18, 0.019230822), (19, 0.019230822), (20, 0.019230822), (21, 0.019230822), (22, 0.019230822), (23, 0.019230822), (24, 0.019230822), (25, 0.019230822)]"
16,16,세상이 날 상대로 몰래카메라 하는 것 같다... 이거 트루먼 쑈인가?,"['세상', '상대', '몰래카메라', '트루먼']",21,0.3462,"[(0, 0.012820657), (1, 0.012820657), (2, 0.012820657), (3, 0.012820657), (4, 0.012820657), (5, 0.34614998), (6, 0.012820657), (7, 0.012820657), (8, 0.012820657), (9, 0.012820657), (10, 0.012820657), (11, 0.012820657), (12, 0.012820657), (13, 0.012820657), (14, 0.012820657), (15, 0.012820657), (16, 0.012820657), (17, 0.012820657), (18, 0.012820657), (19, 0.012820657), (20, 0.012820657), (21, 0.34615424), (22, 0.012820657), (23, 0.012820657), (24, 0.012820657), (25, 0.012820657)]"
17,17,언젠가 붙잡을 수 없는 누군가를 열렬히 사랑했던 경험이 있다면 공감할 수 밖에 없는 애절함.,"['사랑', '경험', '공감']",3,0.5192,"[(0, 0.019230952), (1, 0.019230952), (2, 0.019230952), (3, 0.51922613), (4, 0.019230952), (5, 0.019230952), (6, 0.019230952), (7, 0.019230952), (8, 0.019230952), (9, 0.019230952), (10, 0.019230952), (11, 0.019230952), (12, 0.019230952), (13, 0.019230952), (14, 0.019230952), (15, 0.019230952), (16, 0.019230952), (17, 0.019230952), (18, 0.019230952), (19, 0.019230952), (20, 0.019230952), (21, 0.019230952), (22, 0.019230952), (23, 0.019230952), (24, 0.019230952), (25, 0.019230952)]"
18,18,모든 상황이 우연으로 이뤄지는 빈곤한 스토리,"['상황', '우연', '빈곤', '스토리']",16,0.7596,"[(16, 0.7596139)]"
19,19,임솔리벤져스,['솔리'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
20,20,"이렇게 뻔한 웹소설 클리셰로 전개하면, 별 다섯개 줄수 밖에 없음","['소설', '클리셰', '전개']",12,0.7596,"[(12, 0.7596135)]"
21,21,"잘만들었네 메세지도 좋고 연기 구멍도 적고
종현 생각나서 간간히 슬프긴 하더라
+ 귀여니 남주 자꾸 튀어나오는거 너무 킹받ㅇr","['메세지', '연기', '구멍', '종현', '귀여니', '남주']",4,0.3462,"[(0, 0.012820585), (1, 0.012820585), (2, 0.012820585), (3, 0.012820585), (4, 0.34615877), (5, 0.012820585), (6, 0.012820585), (7, 0.012820585), (8, 0.012820585), (9, 0.012820585), (10, 0.012820585), (11, 0.012820585), (12, 0.012820585), (13, 0.3461472), (14, 0.012820585), (15, 0.012820585), (16, 0.012820585), (17, 0.012820585), (18, 0.012820585), (19, 0.012820585), (20, 0.012820585), (21, 0.012820585), (22, 0.012820585), (23, 0.012820585), (24, 0.012820585), (25, 0.012820585)]"
22,22,선곡 수준이 배철수의 음악캠프 급…,"['선곡', '수준', '배철수', '음악캠프']",16,0.5192,"[(0, 0.019230947), (1, 0.019230947), (2, 0.019230947), (3, 0.019230947), (4, 0.019230947), (5, 0.019230947), (6, 0.019230947), (7, 0.019230947), (8, 0.019230947), (9, 0.019230947), (10, 0.019230947), (11, 0.019230947), (12, 0.019230947), (13, 0.019230947), (14, 0.019230947), (15, 0.019230947), (16, 0.5192263), (17, 0.019230947), (18, 0.019230947), (19, 0.019230947), (20, 0.019230947), (21, 0.019230947), (22, 0.019230947), (23, 0.019230947), (24, 0.019230947), (25, 0.019230947)]"
23,23,"김혜윤 변우석 얼굴합 개좋고
송건희 스타일링 존나잘어울림 굳굳!!!!!!!!!","['김혜윤', '변우석', '얼굴', '건희', '스타일']",16,0.5105,"[(8, 0.25876552), (16, 0.510462)]"
24,24,"+ 최종화 보고 난 후 별점 하나 삭제

개연성과 필력이 부족해도 몇 개의 잘 만든 설정으로 충분히 성공할 수 있음을 보여주는 드라마

그러나 역시 스타 작감과의 차이가 보여주는 부분은 밋밋한 서브 스토리와 캐릭터. 잘 버무릴 수 있는데도 도구적으로 사용되고 사라지는 식으로 그저 갖다 버림. 완급 조절이  안 돼 지루한 잡기가 길고 반복이 많다. 감독의 조연 연기 디렉팅도 아쉬운 부분이 많음.

화제성에 비해 시청률이 나오지 않는 것이 그 방증. 딱 타깃 층만 가져갔다는 것. 화제성 보고 신규 유입되기엔 대본과 연출상 서툰 부분이 너무 많다. (상당 부분 참고한 것으로 보이는 드라마 상견니가 훨씬 촌스러운 연출, 연기에 비해 엄청나게 성공한 것는 탄탄한 대본의 힘.)

안타깝지만, 서브 스토리를 훨씬 잘 버무리고 긴장감 있는 전개를 만들 수 있는 더 뚝심 있는 작가가 썼다면 시청률이 훨씬 잘 나왔을 것. 물론 그런 작가는 오리지날을 쓰겠지만. 원작이 있는 드라마가 넘어야 할 한계. 게다가, 사전제작의 단점인데- 셀링 포인트를 제대로 파악하지 못한 듯. 후반 회차가 공개될수록 제작진도 어떡하지.. 했을 듯.

서혜원 배우는 나이에 비해 연기력이 좋지만 몇 작품만으로도 꽤나 쪼가 있어 보인다. 더 큰 도약을 위해선 쪼를 상당히 노력해 없애야 할듯. 김혜윤 배우의 까랑한 발성 역시 호불호가 상당히 갈리기에 대배우가 되기 위해선 발성 트레이닝이 필요해 보이며, 변우석은 톱으로 완벽히 자리매김 하기 위해선 각 잡고 연기 공부 할 때. 의외로 송건희 배우의 미래가 기대된다.

——
어쩌면 이 드라마의 빌런은 감독이다. 개연성 없는 갑작스런 기억 찾기, 김영수의 죽음 (아니 김영수가 한대만 치면 경찰 다 벗어나기 실화?)… 작가의 이 말도 안되는 대본을 오케이 했다고? 진짜? 후반부부터 대본이 거의 일반인 수준 스토리였는데…
막화는 해피엔딩인데도 넘나 지루했음. 군데 이걸 오케이 했다는 게 신기할 정도. 솔선재의 스킨십 신은 아저씨들이 감독이라 그런가 정말 하나도 안 설레고 웃긴 신 (특히 마지막에 솔 선재 집에서 키스신은 솔이 버둥거리며 선재 머리 만지는데 현웃… 키차이 활용을 못하고 맨날 허리 잡고 넘어지는…) 젊은 보조작가 여자라도 기용해 설렘신을 만들던지 ㅠㅠ 잘 빌드업한 캐릭터 갖다 버리기 무엇","['최종', '별점', '개연', '필력', '부족', '설정', '성공', '드라마', '스타', '차이', '부분', '서브', '스토리', '캐릭터', '도구', '사용', '완급', '조절', '잡기', '반복', '감독', '조연', '연기', '디렉', '부분', '화제', '시청', '방증', '타깃', '화제', '신규', '유입', '대본', '연출', '부분', '상당', '부분', '참고', '드라마', '상견', '연출', '연기', '성공', '대본', '서브', '스토리', '긴장감', '전개', '뚝심', '작가', '시청', '작가', '오리지날', '원작', '드라마', '한계', '사전', '제작', '단점', '셀링', '포인트', '파악', '후반', '회차', '공개', '제작진', '서혜원', '나이', '연기력', '작품', '도약', '노력', '김혜윤', '배우', '발성', '호불호', '배우', '발성', '트레이닝', '필요', '변우석', '자리매김', '연기', '공부', '의외', '건희', '배우', '미래', '기대', '드라마', '감독', '개연', '기억', '찾기', '김영수', '죽음', '김영수', '경찰', '실화', '작가', '대본', '오케이', '후반부', '대본', '일반', '수준', '스토리', '해피', '엔딩', '오케이', '정도', '선재', '스킨', '아저씨', '감독', '마지막', '선재', '키스', '선재', '머리', '차이', '활용', '허리', '보조', '작가', '여자', '기용', '빌드', '캐릭터']",14,0.5937,"[(14, 0.5936784), (16, 0.14257364), (17, 0.02883087), (20, 0.1335328), (22, 0.053892862), (25, 0.03617888)]"
25,25,이게 한국판 상견니네,"['국판', '상견']",8,0.6795,"[(0, 0.012820546), (1, 0.012820546), (2, 0.012820546), (3, 0.012820546), (4, 0.012820546), (5, 0.012820546), (6, 0.012820546), (7, 0.012820546), (8, 0.67948633), (9, 0.012820546), (10, 0.012820546), (11, 0.012820546), (12, 0.012820546), (13, 0.012820546), (14, 0.012820546), (15, 0.012820546), (16, 0.012820546), (17, 0.012820546), (18, 0.012820546), (19, 0.012820546), (20, 0.012820546), (21, 0.012820546), (22, 0.012820546), (23, 0.012820546), (24, 0.012820546), (25, 0.012820546)]"
26,26,이런게 있었으면 재난문자로 알려줬어야지…ㅠㅎ,"['재난', '문자']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
27,27,도대체 이게 먼데 블루레이가 먼지도 모르는 와이프가 나보고 30만 원짜리 블루레이 프리오더 하라고 난리 블루스를 치는 거야.,"['레이', '먼지', '와이프', '레이', '프리', '오더', '난리', '블루스']",2,0.5192,"[(0, 0.01923098), (1, 0.01923098), (2, 0.5192255), (3, 0.01923098), (4, 0.01923098), (5, 0.01923098), (6, 0.01923098), (7, 0.01923098), (8, 0.01923098), (9, 0.01923098), (10, 0.01923098), (11, 0.01923098), (12, 0.01923098), (13, 0.01923098), (14, 0.01923098), (15, 0.01923098), (16, 0.01923098), (17, 0.01923098), (18, 0.01923098), (19, 0.01923098), (20, 0.01923098), (21, 0.01923098), (22, 0.01923098), (23, 0.01923098), (24, 0.01923098), (25, 0.01923098)]"
28,28,"선업튀 왜 안보지 진짜로..?
혹시.. 행복하기 싫으세요?

친구들한테 선업튀 영업할 때마다 찰스엔터가 되,,,","['선업', '행복', '친구', '선업', '영업', '찰스', '엔터']",15,0.4967,"[(1, 0.272532), (15, 0.4966967)]"
29,29,"이런 류의 드라마를 보는 게 스스로 너무 오랜만인데,
어떤 비평이 굳이 필요할까 싶은,
혹여 오버스럽거나 말이 안 되는 구석이 있다 해도,
드라마적 수용으로 충분히 괜찮을 정도로 참 귀여운 드라마.
솔이가 걸었으면 하는 드라마
선재가 살았으면 하는 드라마.
희망을 기대하게 하는 기분 좋은 드라마.
거친 시대 속에 피식피식 웃음 주는 드라마","['드라마', '오랜만', '비평', '필요', '오버', '구석', '드라마', '수용', '정도', '드라마', '드라마', '선재', '드라마', '희망', '기대', '기분', '드라마', '시대', '드라마']",22,0.3537,"[(5, 0.26598984), (9, 0.26976898), (22, 0.35366273)]"
30,30,"2521처럼 마무리가 거지같다면 용서하지 않을 것입니다.
한번도 상처받지 않은 것처럼 사랑하고 있으니까요 제가~!~!

- 8화까지 맛있었다. 제발 쭉..!
- 마지막화 꽉 채운 행복으로 말아주셔서 감사요.
- 둘의 서사는 만점이지만 사실 드라마 자체로는..","['마무리', '거지', '용서', '상처', '사랑', '마지막', '행복', '감사', '서사', '만점', '드라마', '자체']",10,0.3993,"[(10, 0.3993022), (18, 0.32318807), (24, 0.15113439)]"
31,31,살려주십시오 서울 사는 한 20대 남성의 입꼬리가 당최 내려오지를 않습니다... 왜 이렇게 안 질질 끄는 거예요 너무 행복하게ㅜㅜ음악 너무 좋고 비주얼 말도 못하고 결말까지 완벽해버림,"['서울', '남성', '입꼬리', '행복', '비주얼', '결말', '완벽']",5,0.8077,"[(5, 0.80768967)]"
32,32,클리셰로 가득찬 설렘을 강요하는 로맨스,"['클리셰', '강요', '로맨스']",24,0.5192,"[(0, 0.019230807), (1, 0.019230807), (2, 0.019230807), (3, 0.019230807), (4, 0.019230807), (5, 0.019230807), (6, 0.019230807), (7, 0.019230807), (8, 0.019230807), (9, 0.019230807), (10, 0.019230807), (11, 0.019230807), (12, 0.019230807), (13, 0.019230807), (14, 0.019230807), (15, 0.019230807), (16, 0.019230807), (17, 0.019230807), (18, 0.019230807), (19, 0.019230807), (20, 0.019230807), (21, 0.019230807), (22, 0.019230807), (23, 0.019230807), (24, 0.5192298), (25, 0.019230807)]"
33,33,"얘들아 할미 껴줘서 고마워..

24.04.14 - 05.28",['할미'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
34,34,"초반 너무 재밌었는데 뒤로 갈수록 지지부진한 느낌. 그 살인마는 대체 왜? 계속?? 무슨 이유로? 솔이를 쫓아다니고 사람을 죽이는 건지,, 전혀 납득이 되지 않음. 초반 솔이가 휠체어 타는 장면에서 현실에서 겪는 어려움이 보여서(취업, 대중교통 이용, 콘서트장 가는 장면 등) 좋았는데, 결국은 솔이가 과거를 바꿔 ‘걸어서’ 그 회사에 취직하는 장면은 최악이었다. 결국은 장애를 없애야만 취직을 할 수 있다는, 장애를 다루는 이 작품의 태도가 구려서,,, 그럼에도 김혜윤 배우가 만들어내는 상큼발랄깜찍 솔이 때문에 끝까지 봤다. 혜윤 배우 더더 크게 되세요…좋은 작품만 만나서 대배우길만 걸으세요!","['초반', '지지부진', '살인마', '이유', '사람', '납득', '초반', '휠체어', '장면', '현실', '어려움', '취업', '대중교통', '이용', '콘서트', '장면', '결국', '과거', '회사', '취직', '장면', '최악', '장애', '취직', '장애', '작품', '태도', '구려', '김혜윤', '배우', '혜윤', '배우', '작품', '배우']",22,0.9466,"[(22, 0.94658035)]"
35,35,"귀여니소설 2024버전 같다.
그럼에도 화제가 되는 이유는 오롯이 선재의 피지컬때문이 아닌가 싶은데
오히려 송건희가 손석구 업그레이드버전같아 좋은걸","['귀여니', '소설', '버전', '화제', '이유', '오롯', '선재', '피지컬', '건희', '석구', '업그레이드', '버전']",16,0.8397,"[(16, 0.83974147)]"
36,36,매화마다 자지러지면서 보는 중···.,['매화'],4,0.5192,"[(0, 0.019230878), (1, 0.019230878), (2, 0.019230878), (3, 0.019230878), (4, 0.51922804), (5, 0.019230878), (6, 0.019230878), (7, 0.019230878), (8, 0.019230878), (9, 0.019230878), (10, 0.019230878), (11, 0.019230878), (12, 0.019230878), (13, 0.019230878), (14, 0.019230878), (15, 0.019230878), (16, 0.019230878), (17, 0.019230878), (18, 0.019230878), (19, 0.019230878), (20, 0.019230878), (21, 0.019230878), (22, 0.019230878), (23, 0.019230878), (24, 0.019230878), (25, 0.019230878)]"
37,37,"2화 끝부터 미친 도파민 ㅋ ㅋ 처음부터 다시 봐야 됨 ㅋ
아 재밌다 ㅠ ㅠ dvd방 씬은 상견니 생각도 나고••
그래 이런 한드 기다렸다고..  ⸝⸝>  ̫ <⸝⸝ 부디 결말까지 완벽하길..","['도파민', '처음', 'dvd', '상견', '생각', '결말', '완벽']",5,0.5011,"[(1, 0.1730772), (5, 0.50106233), (15, 0.17842267)]"
38,38,12화 정도로 끝났다면 완벽했을 듯.,"['정도', '완벽']",9,0.3462,"[(0, 0.012820544), (1, 0.012820544), (2, 0.012820544), (3, 0.012820544), (4, 0.012820544), (5, 0.34615332), (6, 0.012820544), (7, 0.012820544), (8, 0.012820544), (9, 0.34615365), (10, 0.012820544), (11, 0.012820544), (12, 0.012820544), (13, 0.012820544), (14, 0.012820544), (15, 0.012820544), (16, 0.012820544), (17, 0.012820544), (18, 0.012820544), (19, 0.012820544), (20, 0.012820544), (21, 0.012820544), (22, 0.012820544), (23, 0.012820544), (24, 0.012820544), (25, 0.012820544)]"
